ticker,fiscal_quarter_end,decision_date_T,decision,conviction_tier,final_size_pct,low_quality_flag,run_id,n_newly_active,n_continuously_active,n_idle,absolute_active,share_active,relative_activity_delta,drilling_signal_raw,drilling_signal_clipped,alpha,revenue_forecast_usd,consensus_median_usd,consensus_dispersion_usd,n_analysts_at_T_minus_14,forecast_divergence_pct,divergence_class,agent3_confidence,actual_revenue_usd,actual_surprise_pct,actual_revenue_beat,forecast_direction,actual_direction,revenue_direction_correct,entry_price,exit_price,gross_return_pct,net_return_pct,net_pnl_usd,trade_win,error
CTRA,2021-09-30,2021-10-20,long,medium,0.1,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,11,7,7,18,0.72,10.5,1.4,1.0,0.1,625460000.0,568600000.0,149925017.52542835,5,10.0,modest_beat,medium,440395000.0,-22.54748505100246,False,beat,miss,False,21.41,21.58,0.007940214852872404,0.004940214852872404,494.02148528724035,True,
DVN,2021-09-30,2021-10-19,long,medium,0.1,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,10,7,8,17,0.68,15.0,7.5,1.0,0.1,2384250000.0,2167500000.0,574051556.1179062,17,10.0,modest_beat,medium,3466000000.0,59.90772779700115,True,beat,beat,True,40.3,42.36,0.05111662531017376,0.04811662531017376,4811.662531017376,True,
EOG,2021-09-30,2021-10-21,long,low,0.05,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,12,7,6,19,0.76,16.25,5.909090909090909,1.0,0.1,4136488400.0000005,3760444000.0,614668525.1732433,16,10.0,modest_beat,medium,4737000000.0,25.96916747064974,True,beat,beat,True,90.9,96.99,0.06699669966996688,0.06399669966996688,3199.834983498344,True,
FANG,2021-09-30,2021-10-18,long,medium,0.1,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,6,8,11,14,0.56,10.25,2.7333333333333334,1.0,0.1,1565988600.0000002,1423626000.0,130819445.66647655,20,10.0,modest_beat,medium,1910000000.0,34.16445049472263,True,beat,beat,True,109.26,111.81,0.023338824821526608,0.02033882482152661,2033.882482152661,True,
MTDR,2021-09-30,2021-10-12,long,medium,0.1,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,11,10,4,21,0.84,14.25,2.111111111111111,1.0,0.1,403956300.00000006,367233000.0,56163432.22981776,13,10.0,modest_beat,medium,472351000.0,28.624333869777494,True,beat,beat,True,42.39,42.32,-0.001651332861523951,-0.004651332861523951,-465.1332861523951,False,
OVV,2021-09-30,2021-10-19,long,medium,0.1,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,10,8,7,18,0.72,7.0,0.6363636363636364,0.6363636363636364,0.1,1808181818.1818182,1700000000.0,241557533.27476436,10,6.36,modest_beat,medium,1789000000.0,5.235294117647059,True,beat,beat,True,39.27,35.74,-0.08989050165520755,-0.09289050165520756,-9289.050165520755,False,
OXY,2021-09-30,2021-10-21,long,medium,0.1,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,12,11,2,23,0.92,20.0,6.666666666666667,1.0,0.1,6831239250.000001,6210217500.0,897005136.6918353,14,10.0,modest_beat,medium,6792000000.0,9.36815014933052,True,beat,beat,True,32.8,34.29,0.045426829268292744,0.04242682926829274,4242.682926829274,True,
SM,2021-09-30,2021-10-14,long,medium,0.1,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,7,1,17,8,0.32,3.0,0.6,0.6,0.1,446447620.0,421177000.0,90374826.384707,14,6.0,modest_beat,medium,760239000.0,80.50344629455076,True,beat,beat,True,29.37,36.64,0.24753149472250593,0.24453149472250593,24453.149472250592,True,
CTRA,2021-12-31,2022-02-09,no_trade,none,0.0,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-18.0,-1.0,-1.0,0.1,1717713000.0,1908570000.0,157702133.63686037,11,-10.0,modest_miss,medium,2224257000.0,16.540498907559062,True,miss,beat,False,,,,,,,
DVN,2021-12-31,2022-02-01,no_trade,none,0.0,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,3,4,18,7,0.28,1.0,0.16666666666666666,0.16666666666666666,0.1,2626180133.333333,2583128000.0,762996235.8287526,17,1.67,in_line,medium,4273000000.0,65.4195998030295,True,in_line,beat,,,,,,,,
EOG,2021-12-31,2022-02-10,no_trade,none,0.0,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,0,4,21,4,0.16,-3.0,-0.42857142857142855,-0.42857142857142855,0.1,4425828571.428572,4624000000.0,858915967.2524637,17,-4.29,in_line,medium,6044000000.0,30.709342560553633,True,in_line,beat,,,,,,,,
FANG,2021-12-31,2022-02-08,no_trade,none,0.0,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,0,3,22,3,0.12,-4.25,-0.5862068965517241,-0.5862068965517241,0.1,1444452413.7931035,1534400000.0,205810596.4525159,19,-5.86,modest_miss,medium,2022000000.0,31.777893639207505,True,miss,beat,False,,,,,,,
MTDR,2021-12-31,2022-02-08,no_trade,none,0.0,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-9.25,-1.0,-1.0,0.1,365850000.0,406500000.0,43353765.43387499,12,-10.0,modest_miss,medium,566358000.0,39.32546125461255,True,miss,beat,False,,,,,,,
OVV,2021-12-31,2022-02-10,no_trade,none,0.0,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,1,0,24,1,0.04,-13.75,-0.9322033898305084,-0.9322033898305084,0.1,1537154745.762712,1695180000.0,260170891.35730487,11,-9.32,modest_miss,medium,3339000000.0,96.97023324956642,True,miss,beat,False,,,,,,,
OXY,2021-12-31,2022-02-09,no_trade,none,0.0,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-8.75,-1.0,-1.0,0.1,6506804249.999999,7229782499.999999,773497297.2778143,12,-10.0,modest_miss,medium,7913000000.0,9.45004223847676,True,miss,beat,False,,,,,,,
SM,2021-12-31,2022-02-10,no_trade,none,0.0,False,2026-05-05-strategy1-2021Q1_2021Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-7.0,-1.0,-1.0,0.1,446850000.0,496500000.0,105478500.54702309,14,-10.0,modest_miss,medium,854960000.0,72.1973816717019,True,miss,beat,False,,,,,,,
CRGY,2022-03-31,2022-04-26,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,0,0,0.0,-0.3,0.0,0.0,0.1,400000000.0,400000000.0,0.0,1,0.0,in_line,low,598910000.0,49.7275,True,in_line,beat,,,,,,,,
CTRA,2022-03-31,2022-04-18,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-9.0,-1.0,-1.0,0.1,1550047500.0,1722275000.0,168173282.32518825,14,-10.0,modest_miss,medium,1679000000.0,-2.512664934461686,False,miss,miss,True,,,,,,,
DVN,2022-03-31,2022-04-18,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-7.25,-1.0,-1.0,0.1,2680916850.0,2978796500.0,628382193.7643224,16,-10.0,modest_miss,medium,3812000000.0,27.97114539378571,True,miss,beat,False,,,,,,,
EOG,2022-03-31,2022-04-21,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-6.0,-1.0,-1.0,0.1,4569433200.0,5077148000.0,685192972.6258357,16,-10.0,modest_miss,medium,3935000000.0,-22.495857910779833,False,miss,miss,True,,,,,,,
FANG,2022-03-31,2022-04-18,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-7.5,-1.0,-1.0,0.1,1658700000.0,1843000000.0,132223053.88005395,17,-10.0,modest_miss,medium,2408000000.0,30.656538252848613,True,miss,beat,False,,,,,,,
MTDR,2022-03-31,2022-04-12,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-8.5,-1.0,-1.0,0.1,454500000.0,505000000.0,43309672.46868124,10,-10.0,modest_miss,medium,565692000.0,12.018217821782178,True,miss,beat,False,,,,,,,
OVV,2022-03-31,2022-04-26,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-15.0,-1.0,-1.0,0.1,1754955000.0,1949950000.0,368049342.3951468,9,-10.0,modest_miss,medium,1967000000.0,0.8743813943947281,True,miss,beat,False,,,,,,,
OXY,2022-03-31,2022-04-26,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,8,17,8,0.32,-0.75,-0.08571428571428572,-0.08571428571428572,0.1,7635699804.285714,7701714500.0,1109235541.062798,12,-0.86,in_line,medium,8349000000.0,8.40443384391878,True,in_line,beat,,,,,,,,
SM,2022-03-31,2022-04-14,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-7.0,-1.0,-1.0,0.1,552599549.9999999,613999499.9999999,78705175.30960178,12,-10.0,modest_miss,medium,859776000.0,40.02877852506398,True,miss,beat,False,,,,,,,
CRGY,2022-06-30,2022-07-26,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,0,0,0.0,-0.3,,,0.1,8737275254.399998,0.0,0.0,0,0.0,in_line,low,908434000.0,inf,,in_line,,,,,,,,,
CTRA,2022-06-30,2022-07-19,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,1,24,1,0.04,-5.0,-0.8333333333333334,-0.8333333333333334,0.1,2014682083.3333333,2197835000.0,311283607.2413231,14,-8.33,modest_miss,medium,2572000000.0,17.024253413017814,True,miss,beat,False,,,,,,,
DVN,2022-06-30,2022-07-18,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-7.25,-1.0,-1.0,0.1,3160800000.0,3512000000.0,723548950.6906185,15,-10.0,modest_miss,medium,5626000000.0,60.193621867881554,True,miss,beat,False,,,,,,,
EOG,2022-06-30,2022-07-21,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-6.0,-1.0,-1.0,0.1,5264100000.0,5849000000.0,1222464972.3026752,15,-10.0,modest_miss,medium,7268000000.0,24.260557360232518,True,miss,beat,False,,,,,,,
FANG,2022-06-30,2022-07-18,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-6.0,-1.0,-1.0,0.1,2132100000.0,2369000000.0,278922383.9597846,15,-10.0,modest_miss,medium,2768000000.0,16.842549598986913,True,miss,beat,False,,,,,,,
MTDR,2022-06-30,2022-07-12,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,1,24,1,0.04,-7.25,-0.8787878787878788,-0.8787878787878788,0.1,622066666.6666666,682000000.0,154816516.78899693,10,-8.79,modest_miss,medium,943930000.0,38.40615835777126,True,miss,beat,False,,,,,,,
OVV,2022-06-30,2022-07-20,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-10.25,-1.0,-1.0,0.1,1951056900.0,2167841000.0,505027252.83592373,9,-10.0,modest_miss,medium,3736000000.0,72.33736238035907,True,miss,beat,False,,,,,,,
OXY,2022-06-30,2022-07-19,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-10.0,-1.0,-1.0,0.1,8838450000.0,9820500000.0,1481799808.6263704,14,-10.0,modest_miss,medium,10676000000.0,8.711369074894353,True,miss,beat,False,,,,,,,
SM,2022-06-30,2022-07-20,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,25,0,0.0,-5.25,-1.0,-1.0,0.1,627120000.0,696800000.0,148635470.31550127,13,-10.0,modest_miss,medium,992102000.0,42.37973593570609,True,miss,beat,False,,,,,,,
CRGY,2022-09-30,2022-10-26,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,0,0,0,0,0.0,-0.3,0.0,0.0,0.1,661500000.0,661500000.0,20506096.654409878,2,0.0,in_line,low,864957000.0,30.75691609977324,True,in_line,beat,,,,,,,,
CTRA,2022-09-30,2022-10-20,no_trade,none,0.0,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,3,4,18,7,0.28,2.25,0.47368421052631576,0.47368421052631576,0.1,2441013076.315789,2330615500.0,321609091.81267166,14,4.74,in_line,medium,2520000000.0,8.125943554395825,True,in_line,beat,,,,,,,,
DVN,2022-09-30,2022-10-18,long,medium,0.1,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,12,3,10,15,0.6,9.0,1.5,1.0,0.1,4109050000.0000005,3735500000.0,856291749.5080726,16,10.0,modest_beat,medium,5432000000.0,45.41560701378664,True,beat,beat,True,69.77,70.73,0.01375949548516566,0.01075949548516566,1075.949548516566,True,
EOG,2022-09-30,2022-10-20,long,medium,0.1,False,2026-05-05-strategy1-2022Q1_2022Q4-target-realsar-v2_5_fix,4,7,14,11,0.44,5.25,0.9130434782608695,0.9130434782608695,0.1,6583839130.434782,6033000000.0,1092749623.496801,15,9.13,modest_beat,medium,7580000000.0,25.642300679595557,True,beat,beat,True,131.59,145.94,0.10905083972946268,0.10605083972946268,10605.083972946268,True,
