ticker,date,adj_close,ret
DVN,2025-05-21,30.7048,-0.020827
DVN,2025-05-22,30.3539,-0.011429
DVN,2025-05-23,30.3734,0.000642
DVN,2025-05-27,30.5586,0.006097
DVN,2025-05-28,30.0810,-0.015630
DVN,2025-05-29,30.3246,0.008101
DVN,2025-05-30,29.4961,-0.027322
DVN,2025-06-02,30.3539,0.029081
DVN,2025-06-03,31.2019,0.027938
DVN,2025-06-04,30.7633,-0.014058
DVN,2025-06-05,30.6268,-0.004436
DVN,2025-06-06,31.4749,0.027689
DVN,2025-06-09,31.8258,0.011149
DVN,2025-06-10,32.6251,0.025115
DVN,2025-06-11,33.5998,0.029877
DVN,2025-06-12,33.4634,-0.004062
DVN,2025-06-13,34.4646,0.029921
DVN,2025-06-16,33.9836,-0.013956
DVN,2025-06-17,34.0720,0.002600
DVN,2025-06-18,33.4143,-0.019303
DVN,2025-06-20,33.6597,0.007344
DVN,2025-06-23,32.2265,-0.042578
DVN,2025-06-24,31.7553,-0.014621
DVN,2025-06-25,31.5394,-0.006801
DVN,2025-06-26,31.8830,0.010893
DVN,2025-06-27,31.6572,-0.007081
DVN,2025-06-30,31.2253,-0.013643
DVN,2025-07-01,32.0498,0.026407
DVN,2025-07-02,32.7959,0.023277
DVN,2025-07-03,32.6192,-0.005388
DVN,2025-07-07,32.0793,-0.016551
DVN,2025-07-08,34.2781,0.068543
DVN,2025-07-09,33.9542,-0.009450
DVN,2025-07-10,33.3259,-0.018502
DVN,2025-07-11,33.3456,0.000589
DVN,2025-07-14,32.5897,-0.022667
DVN,2025-07-15,31.5786,-0.031024
DVN,2025-07-16,31.1664,-0.013056
DVN,2025-07-17,32.1774,0.032441
DVN,2025-07-18,32.2462,0.002135
DVN,2025-07-21,31.7553,-0.015221
DVN,2025-07-22,32.2069,0.014219
DVN,2025-07-23,32.6290,0.013106
DVN,2025-07-24,32.6879,0.001805
DVN,2025-07-25,32.3345,-0.010811
DVN,2025-07-28,33.4634,0.034912
DVN,2025-07-29,33.5910,0.003813
DVN,2025-07-30,33.1394,-0.013443
DVN,2025-07-31,32.6094,-0.015995
DVN,2025-08-01,31.5492,-0.032511
DVN,2025-08-04,31.3529,-0.006223
DVN,2025-08-05,31.7161,0.011584
DVN,2025-08-06,31.8535,0.004333
DVN,2025-08-07,31.7946,-0.001849
DVN,2025-08-08,32.6682,0.027477
DVN,2025-08-11,32.2658,-0.012320
